# Written by the BoltzWann module of the Wannier90 code.
# [K coefficient in SI units, i.e. in W/m/K]
# [the K coefficient is defined in the documentation, and is an ingredient of
#  the thermal conductivity. See the docs for further information.]
# Mu(eV) Temp(K) Kappa_xx Kappa_xy Kappa_yy Kappa_xz Kappa_yz Kappa_zz
   5.490000000       700.0000000       15.89011962     -0.6710947634E-02   15.72612323     -0.4835417370E-02 -0.1929957996E-02   15.79251011    
   5.500000000       300.0000000       6.322680417     -0.2369261581E-02   6.282957277     -0.5526550082E-02 -0.1370913738E-02   6.293283736    
   5.500000000       500.0000000       11.23937365     -0.4679282958E-02   11.11476767     -0.5191004008E-02 -0.1292919203E-02   11.15543992    
   5.500000000       700.0000000       16.23067035     -0.6801262205E-02   16.06368658     -0.4526405152E-02 -0.1932534748E-02   16.13252807    
   5.510000000       300.0000000       6.766813450     -0.2522372060E-02   6.716753719     -0.5545032137E-02 -0.1322546693E-02   6.730172302    
   5.510000000       500.0000000       11.66511772     -0.4796682728E-02   11.53133513     -0.5020966246E-02 -0.1245534632E-02   11.57514127    
   5.510000000       700.0000000       16.56057672     -0.6872574529E-02   16.39231113     -0.4290859714E-02 -0.1974393565E-02   16.46319467    
   5.520000000       300.0000000       7.209498605     -0.2684113225E-02   7.147373945     -0.5560520119E-02 -0.1272139181E-02   7.164267723    
   5.520000000       500.0000000       12.08530861     -0.4904891620E-02   11.94367402     -0.4933697601E-02 -0.1245193702E-02   11.99028742    
   5.520000000       700.0000000       16.88310359     -0.6929298137E-02   16.71546671     -0.4140208909E-02 -0.2060663928E-02   16.78794489    
   5.530000000       300.0000000       7.651035062     -0.2843050803E-02   7.575353208     -0.5586889493E-02 -0.1228367682E-02   7.596014920    
   5.530000000       500.0000000       12.50124344     -0.5012520965E-02   12.35369445     -0.4940121104E-02 -0.1300342640E-02   12.40267120    
   5.530000000       700.0000000       17.20180313     -0.6976249142E-02   17.03684980     -0.4081467283E-02 -0.2194371835E-02   17.11045859    
   5.540000000       300.0000000       8.091058989     -0.2985671842E-02   8.000908735     -0.5639421714E-02 -0.1209445783E-02   8.025482900    
   5.540000000       500.0000000       12.91446099     -0.5129185134E-02   12.76356433     -0.5044620680E-02 -0.1416377025E-02   12.81435031    
   5.540000000       700.0000000       17.52040262     -0.7018170119E-02   17.36024427     -0.4116730176E-02 -0.2376056252E-02   17.43452630    
   5.550000000       300.0000000       8.528436539     -0.3098761204E-02   8.423948891     -0.5725578178E-02 -0.1226056098E-02   8.452366587    
   5.550000000       500.0000000       13.32652701     -0.5265267871E-02   13.17541781     -0.5244462954E-02 -0.1595007587E-02   13.22737172    
   5.550000000       700.0000000       17.84268327     -0.7059201358E-02   17.68937349     -0.4242958299E-02 -0.2603523077E-02   17.76390588    
   5.560000000       300.0000000       8.962285742     -0.3182211463E-02   8.845165449     -0.5835739615E-02 -0.1271435860E-02   8.877057604    
   5.560000000       500.0000000       13.73882012     -0.5431214694E-02   13.59103720     -0.5529863598E-02 -0.1833836982E-02   13.64347355    
   5.560000000       700.0000000       18.17235905     -0.7102335740E-02   18.02775702     -0.4452070202E-02 -0.2871766925E-02   18.10218233    
   5.570000000       300.0000000       9.392032436     -0.3266364136E-02   9.266021749     -0.5944530235E-02 -0.1331631087E-02   9.300631758    
   5.570000000       500.0000000       14.15234738     -0.5636039603E-02   14.01154718     -0.5884770671E-02 -0.2126162959E-02   14.06380086    
   5.570000000       700.0000000       18.51296502     -0.7148911800E-02   18.37858575     -0.4731336536E-02 -0.3173084526E-02   18.45264404    
   5.580000000       300.0000000       9.816188104     -0.3408297076E-02   9.687209163     -0.6026434158E-02 -0.1406908630E-02   9.723378921    
   5.580000000       500.0000000       14.56761493     -0.5885058592E-02   14.43716880     -0.6288205168E-02 -0.2460898210E-02   14.48867820    
   5.580000000       700.0000000       18.86776343     -0.7198219457E-02   18.74462884     -0.5064046881E-02 -0.3497395442E-02   18.81818756    
   5.590000000       300.0000000       10.23157003     -0.3661864713E-02   10.10718592     -0.6072311798E-02 -0.1523406746E-02   10.14351524    
   5.590000000       500.0000000       14.98457500     -0.6177332327E-02   14.86708849     -0.6715829743E-02 -0.2822530861E-02   14.91748762    
   5.590000000       700.0000000       19.23967357     -0.7247305084E-02   19.12818194     -0.5430400868E-02 -0.3832774712E-02   19.20126032    
   5.600000000       300.0000000       10.63378294     -0.4047988926E-02   10.52164877     -0.6089967879E-02 -0.1716230808E-02   10.55687751    
   5.600000000       500.0000000       15.40265789     -0.6503669092E-02   15.29949050     -0.7141442294E-02 -0.3191321062E-02   15.34869336    
   5.600000000       700.0000000       19.63122815     -0.7291056673E-02   19.53106128     -0.5808562930E-02 -0.4166185314E-02   19.60384555    
   5.610000000       300.0000000       11.01839169     -0.4550119278E-02   10.92377497     -0.6089362277E-02 -0.1988947621E-02   10.95728967    
   5.610000000       500.0000000       15.82088009     -0.6846069257E-02   15.73177422     -0.7538295692E-02 -0.3544239789E-02   15.78003089    
   5.610000000       700.0000000       20.04455555     -0.7322619502E-02   19.95464118     -0.6175814068E-02 -0.4484373481E-02   20.02748750    
   5.620000000       300.0000000       11.38205987     -0.5125206825E-02   11.30533558     -0.6069976751E-02 -0.2286144863E-02   11.33753479    
   5.620000000       500.0000000       16.23800665     -0.7179147630E-02   16.16093825     -0.7880363457E-02 -0.3857143937E-02   16.20884427    
   5.620000000       700.0000000       20.48138382     -0.7334139550E-02   20.39992538     -0.6509732406E-02 -0.4774857904E-02   20.47334884    
   5.630000000       300.0000000       11.72258589     -0.5706329565E-02   11.65825553     -0.6019268846E-02 -0.2513191908E-02   11.69049411    
   5.630000000       500.0000000       16.65274687     -0.7473508564E-02   16.58407296     -0.8143729833E-02 -0.4108161039E-02   16.63252368    
   5.630000000       700.0000000       20.94305972     -0.7317766441E-02   20.86763673     -0.6789334822E-02 -0.5026911589E-02   20.94228619    
   5.640000000       300.0000000       12.03717680     -0.6205356646E-02   11.97546061     -0.5914916369E-02 -0.2593465637E-02   12.00953563    
