# Written by the BoltzWann module of the Wannier90 code.
# [Seebeck coefficient in SI units, i.e. in V/K]
# Mu(eV) Temp(K) Seebeck_xx Seebeck_xy Seebeck_xz Seebeck_yx Seebeck_yy Seebeck_yz Seebeck_zx Seebeck_zy Seebeck_zz
   5.340000000       500.0000000     -0.2774548758E-03  0.1571240760E-07  0.4204171472E-08  0.1562098545E-07 -0.2769789367E-03  0.1057849325E-07  0.4155695002E-08  0.1075377352E-07 -0.2774076361E-03
   5.340000000       700.0000000     -0.2557869541E-03  0.1773650037E-07 -0.3692013677E-07  0.1762992919E-07 -0.2552026277E-03 -0.3873513281E-08 -0.3725733884E-07 -0.3722860761E-08 -0.2556018351E-03
   5.350000000       300.0000000     -0.2803805616E-03  0.9534821861E-09  0.6702372391E-07  0.8900918443E-09 -0.2800014012E-03  0.2880816111E-07  0.6736281572E-07  0.2904341488E-07 -0.2805148288E-03
   5.350000000       500.0000000     -0.2612375814E-03  0.1611060376E-07  0.1669253423E-08  0.1602025442E-07 -0.2607629594E-03  0.9750153810E-08  0.1605080683E-08  0.9923254807E-08 -0.2611835820E-03
   5.350000000       700.0000000     -0.2442451092E-03  0.1778620585E-07 -0.3860652611E-07  0.1767935164E-07 -0.2436590953E-03 -0.4511865950E-08 -0.3895588539E-07 -0.4361300020E-08 -0.2440545698E-03
   5.360000000       300.0000000     -0.2539998622E-03  0.8539861778E-09  0.6426222239E-07  0.7935977729E-09 -0.2536471182E-03  0.2866366171E-07  0.6458860334E-07  0.2889114919E-07 -0.2541295118E-03
   5.360000000       500.0000000     -0.2456544209E-03  0.1658168866E-07 -0.1266120921E-08  0.1649241811E-07 -0.2451803873E-03  0.8764872164E-08 -0.1348646374E-08  0.8935739513E-08 -0.2455924573E-03
   5.360000000       700.0000000     -0.2330118483E-03  0.1782319453E-07 -0.4043320234E-07  0.1771587663E-07 -0.2324237552E-03 -0.5210551077E-08 -0.4079585588E-07 -0.5060014323E-08 -0.2328153391E-03
   5.370000000       300.0000000     -0.2295642942E-03  0.9988933335E-09  0.6071727225E-07  0.9417986002E-09 -0.2292399117E-03  0.2812391204E-07  0.6102793298E-07  0.2834164366E-07 -0.2296883797E-03
   5.370000000       500.0000000     -0.2307538927E-03  0.1712488389E-07 -0.4621793421E-08  0.1703662102E-07 -0.2302793825E-03  0.7610153224E-08 -0.4725561326E-08  0.7778821112E-08 -0.2306826235E-03
   5.370000000       700.0000000     -0.2221018888E-03  0.1784062617E-07 -0.4239138809E-07  0.1773261593E-07 -0.2215112875E-03 -0.5967685061E-08 -0.4276844824E-07 -0.5817111080E-08 -0.2218988588E-03
   5.380000000       300.0000000     -0.2072663041E-03  0.1526227771E-08  0.5642314273E-07  0.1472492052E-08 -0.2069704109E-03  0.2714192404E-07  0.5671541856E-07  0.2734845809E-07 -0.2073840123E-03
   5.380000000       500.0000000     -0.2165731209E-03  0.1773172956E-07 -0.8406840076E-08  0.1764429549E-07 -0.2160966996E-03  0.6277667481E-08 -0.8534945228E-08  0.6444270111E-08 -0.2164910677E-03
   5.380000000       700.0000000     -0.2115270232E-03  0.1783036103E-07 -0.4446694293E-07  0.1772137744E-07 -0.2109334615E-03 -0.6779300157E-08 -0.4485946180E-07 -0.6628616991E-08 -0.2113169351E-03
   5.390000000       300.0000000     -0.1871962107E-03  0.2598874473E-08  0.5149823682E-07  0.2548274737E-08 -0.1869271815E-03  0.2576599751E-07  0.5177010067E-07  0.2596092747E-07 -0.1873069143E-03
   5.390000000       500.0000000     -0.2031355374E-03  0.1838372943E-07 -0.1261717664E-07  0.1829680188E-07 -0.2026553870E-03  0.4763948511E-08 -0.1277288153E-07  0.4928721756E-08 -0.2030410842E-03
   5.390000000       700.0000000     -0.2012957602E-03  0.1778315089E-07 -0.4663995316E-07  0.1767285865E-07 -0.2006987833E-03 -0.7639098806E-08 -0.4704888153E-07 -0.7488233981E-08 -0.2010781096E-03
   5.400000000       300.0000000     -0.1693374970E-03  0.4374895662E-08  0.4604101516E-07  0.4326951091E-08 -0.1690923544E-03  0.2409162291E-07  0.4629092240E-07  0.2427571172E-07 -0.1694406626E-03
   5.400000000       500.0000000     -0.1904496590E-03  0.1905077096E-07 -0.1723271440E-07  0.1896384444E-07 -0.1899635846E-03  0.3070863303E-08 -0.1741939979E-07  0.3234135351E-08 -0.1903410541E-03
   5.400000000       700.0000000     -0.1914131208E-03  0.1768900410E-07 -0.4888456160E-07  0.1757701536E-07 -0.1908122998E-03 -0.8538270991E-08 -0.4931070288E-07 -0.8387158158E-08 -0.1911874594E-03
